08:06:49: Key.cmd
08:06:50: 1
08:06:51: 2
08:06:52: 0
08:06:53: Key.esc
08:42:20: Key.ctrl_l
08:42:21: \x0c
08:42:23: Key.esc
08:42:34: Key.ctrl_l
08:42:34: \x0c
08:42:41: Key.alt_l
08:42:41: Key.tab
08:43:38: Key.page_down
08:43:39: Key.page_up
08:43:39: Key.page_down
08:43:39: Key.page_down
08:43:40: Key.page_down
08:43:40: Key.page_down
08:43:40: Key.page_down
08:43:40: Key.page_down
08:43:40: Key.page_down
08:43:40: Key.page_down
08:43:41: Key.page_down
08:43:41: Key.page_down
08:43:41: Key.page_down
08:43:41: Key.page_down
08:43:41: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:42: Key.page_down
08:43:43: Key.page_down
08:43:43: Key.page_down
08:43:43: Key.page_down
08:43:44: Key.page_down
08:43:44: Key.page_up
08:43:44: Key.page_down
08:43:45: Key.page_down
08:43:45: Key.page_down
08:43:45: Key.page_down
08:43:46: Key.page_down
08:43:47: Key.page_down
08:43:47: Key.page_down
08:43:47: Key.page_up
08:43:48: Key.page_down
08:43:49: Key.page_down
08:43:50: Key.page_down
08:43:51: Key.page_down
08:43:52: Key.page_up
08:43:52: Key.page_up
08:43:52: Key.page_up
08:43:53: Key.page_up
08:43:53: Key.page_down
08:43:55: Key.page_up
08:45:46: Key.page_down
08:45:48: Key.page_down
08:45:49: Key.page_down
08:46:46: Key.page_up
08:46:48: Key.page_up
08:46:49: Key.page_up
08:47:43: Key.page_up
08:47:44: Key.page_up
08:47:44: Key.page_down
08:47:45: Key.page_down
08:47:45: Key.page_down
08:47:46: Key.page_down
08:47:51: Key.page_down
08:49:33: Key.page_up
08:49:34: Key.page_up
08:54:01: Key.page_down
08:54:04: Key.page_down
08:59:08: Key.page_up
08:59:08: Key.page_up
08:59:09: Key.page_up
08:59:28: Key.page_down
08:59:51: Key.page_up
09:00:00: Key.page_down
09:00:01: Key.page_down
09:00:13: Key.page_down
09:00:18: Key.page_up
09:01:18: Key.esc
09:01:24: g
09:01:24: e
09:01:24: o
09:01:25: g
09:01:25: e
09:01:25: b
09:01:25: r
09:01:25: a
09:01:25: Key.enter
09:01:35: 3
09:01:36: (
09:01:36: )
09:01:36: Key.left
09:01:37: x
09:01:37: Key.ctrl_l
09:01:37: Key.alt_gr
09:01:37: [^]
09:01:37: 2
09:01:38: Key.right
09:01:39: +
09:01:39: y
09:01:41: Key.ctrl_l
09:01:41: Key.alt_gr
09:01:41: [^]
09:01:41: 2
09:01:41: Key.right
09:01:42: Key.right
09:01:43: Key.ctrl_l
09:01:43: Key.alt_gr
09:01:43: [^]
09:01:43: 2
09:01:43: Key.right
09:01:44: =
09:01:45: 0
09:01:45: 0
09:01:46: Key.backspace
09:01:46: Key.backspace
09:01:46: 1
09:01:46: 0
09:01:46: 0
09:01:47: x
09:01:47: y
09:01:47: Key.enter
09:02:15: (
09:02:15: 3
09:02:16: ,
09:02:16: 1
09:02:16: Key.enter
09:09:16: y
09:09:17: -
09:09:17: 1
09:09:18: (
09:09:18: Key.backspace
09:09:19: =
09:09:23: 1
09:09:24: 3
09:09:25: /
09:09:25: 9
09:09:25: Key.right
09:09:26: (
09:09:27: x
09:09:27: -
09:09:29: 3
09:09:29: Key.enter
09:10:10: Key.ctrl_r
09:10:10: \x0c
09:10:12: Key.page_down
09:10:13: Key.page_down
09:10:35: Key.page_down
09:10:36: Key.page_up
09:33:53: Key.esc
09:33:57: m
09:33:57: e
09:33:57: r
09:33:58: s
09:33:58: e
09:33:58: n
09:33:58: n
09:33:58: e
09:33:59: .
09:33:59: o
09:33:59: r
09:33:59: g
09:34:00: Key.enter
09:34:07: Key.ctrl_l
09:40:07: Key.delete
09:40:07: Key.enter
09:41:07: Key.alt_l
09:41:07: Key.tab
10:37:42: Key.left
10:37:42: Key.left
10:37:42: Key.left
10:37:44: Key.left
10:37:44: Key.left
10:37:44: Key.left
10:37:44: Key.left
11:29:58: <102>
11:29:58: <97>
13:48:34: d
13:48:34: .
13:48:34: s
13:48:34: a
13:48:35: l
13:48:35: a
13:48:35: z
13:48:35: a
13:48:35: r
13:48:37: Key.tab
13:48:39: Key.caps_lock
13:48:39: k
13:48:39: Key.caps_lock
13:48:40: e
13:48:40: k
13:48:40: a
13:48:40: s
13:48:40: a
