04:36:28: T
04:36:30: Key.tab
04:36:30: Key.tab
04:36:32: Key.tab
04:36:32: Key.tab
04:36:33: Key.tab
04:36:33: .
04:36:33: p
04:36:34: @
04:36:34: B
04:36:35: .
04:36:36: P
04:36:36: G
04:36:38: Key.tab
04:36:39: Key.tab
04:36:42: B
04:36:43: m
04:36:44: I
04:36:44: W
04:36:45: b
04:36:46: q
04:36:48: Key.tab
04:36:53: Key.tab
04:36:55: Key.tab
04:36:55: Key.tab
04:36:56: Z
04:36:56: H
04:36:57: n
04:36:58: /
04:37:03: Key.tab
04:37:03: j
04:37:04: r
04:37:04: m
04:37:05: d
04:37:05: 5
04:37:06: N
04:37:07: Key.tab
04:37:08: Key.tab
04:37:09: Key.tab
04:37:10: C
04:37:11: f
04:37:11: v
04:37:12: 1
04:37:12: .
04:37:13: D
04:37:13: U
04:37:16: Key.tab
04:37:17: Key.tab
04:37:18: Key.tab
04:37:18: Key.tab
04:37:18: v
04:37:19: p
04:37:19: i
04:37:19: c
04:37:20: L
04:37:20: 8
04:37:22: Key.tab
04:37:24: Key.tab
04:37:24: Key.tab
04:37:25: l
04:37:26: u
04:37:26: N
04:37:27: k
04:37:28: Key.tab
04:37:31: Key.tab
04:37:31: Key.tab
04:37:32: p
04:37:32: b
04:37:33: /
04:37:33: a
04:37:34: 1
04:37:36: Key.tab
